           0.073 ( 0.462 %)	           0.297 ( 6.760 %)	           1.603 (42.350 %)	           0.027 ( 1.171 %)	           0.043 ( 1.135 %)
           0.074 ( 0.467 %)	           0.175 ( 4.467 %)	           0.036 ( 1.029 %)	           0.035 ( 1.514 %)	           0.060 ( 1.522 %)
           0.054 ( 0.345 %)	           0.158 ( 4.039 %)	           0.037 ( 1.040 %)	           0.084 ( 3.244 %)	           0.064 ( 1.662 %)
           0.040 ( 0.261 %)	           0.194 ( 4.892 %)	           0.134 ( 3.684 %)	           0.033 ( 1.298 %)	           0.057 ( 1.495 %)
           0.056 ( 0.362 %)	           0.195 ( 4.942 %)	           0.039 ( 1.142 %)	           0.030 ( 1.163 %)	           0.026 ( 0.673 %)
           0.048 ( 0.302 %)	           0.233 ( 5.098 %)	           0.107 ( 3.132 %)	           0.036 ( 1.585 %)	           0.062 ( 1.612 %)
           0.051 ( 0.321 %)	           0.208 ( 5.173 %)	           0.106 ( 3.296 %)	           0.031 ( 1.398 %)	           0.029 ( 0.756 %)
           0.175 ( 1.109 %)	           0.308 ( 7.280 %)	           0.115 ( 3.714 %)	           0.036 ( 1.599 %)	           0.065 ( 1.516 %)
           0.967 ( 6.041 %)	           0.164 ( 4.169 %)	           0.031 ( 1.051 %)	           0.026 ( 1.178 %)	           0.041 ( 1.063 %)
           1.776 (10.944 %)	           0.170 ( 4.226 %)	           0.109 ( 3.731 %)	           0.030 ( 1.362 %)	           0.017 ( 0.441 %)
           0.056 ( 0.353 %)	           0.203 ( 5.026 %)	           0.101 ( 3.537 %)	           0.035 ( 1.540 %)	           0.064 ( 1.660 %)
           0.074 ( 0.472 %)	           0.168 ( 4.068 %)	           0.117 ( 3.925 %)	           0.028 ( 1.219 %)	           0.071 ( 1.855 %)
           0.051 ( 0.325 %)	           0.318 ( 6.370 %)	           0.110 ( 3.752 %)	           0.031 ( 1.357 %)	           0.065 ( 1.689 %)
           0.062 ( 0.394 %)	           0.144 ( 3.608 %)	           0.100 ( 3.528 %)	           0.035 ( 1.549 %)	           0.029 ( 0.748 %)
           0.057 ( 0.363 %)	           0.221 ( 5.456 %)	           0.092 ( 3.257 %)	           1.473 (57.982 %)	           0.028 ( 0.744 %)
           1.670 (10.401 %)	           0.169 ( 3.966 %)	           0.030 ( 1.081 %)	           0.044 ( 1.925 %)	           0.054 ( 1.372 %)
           0.063 ( 0.398 %)	           0.147 ( 3.528 %)	           0.100 ( 3.487 %)	           0.034 ( 1.308 %)	           0.047 ( 1.102 %)
           1.626 (10.134 %)	           0.127 ( 3.249 %)	           0.100 ( 3.561 %)	           0.027 ( 1.218 %)	           0.070 ( 1.572 %)
           0.165 ( 1.043 %)	           0.149 ( 3.811 %)	           0.112 ( 3.825 %)	           0.032 ( 1.227 %)	           0.052 ( 1.354 %)
           0.071 ( 0.462 %)	           0.160 ( 3.948 %)	           0.108 ( 3.756 %)	           0.020 ( 0.857 %)	           0.041 ( 1.095 %)
           0.076 ( 0.482 %)	           0.218 ( 5.477 %)	           0.112 ( 3.836 %)	           0.033 ( 1.437 %)	           0.049 ( 1.323 %)
