          18.427	           4.028	           2.757	           2.223	           3.618
          15.349	           3.922	           2.858	           2.163	           4.115
          15.826	           3.949	           2.863	           2.223	           3.841
          16.127	           4.483	           3.332	           2.575	           4.298
          15.758	           4.124	           2.846	           2.283	           3.831
          15.771	           4.307	           2.923	           2.283	           4.211
          15.518	           4.248	           3.343	           2.282	           3.834
          15.828	           4.012	           2.836	           2.283	           3.898
          17.723	           4.007	           2.842	           2.282	           3.838
          15.390	           5.016	           2.994	           2.283	           3.874
          15.345	           4.124	           2.948	           2.569	           5.922
          15.336	           4.433	           2.868	           2.287	           4.391
          17.745	           4.763	           2.846	           2.285	           4.628
          15.400	           4.012	           2.891	           2.283	           4.603
          15.397	           3.886	           2.897	           2.280	           4.529
          15.337	           3.947	           2.770	           2.570	           4.244
          16.077	           4.163	           2.763	           2.218	           4.307
          15.826	           4.128	           2.889	           2.219	           3.826
          17.013	           4.040	           2.899	           2.226	           3.866
          15.338	           4.124	           2.890	           2.221	           3.940
          15.771	           4.236	           2.942	           2.219	           3.833
          15.765	           4.073	           3.262	           2.565	           3.837
          15.395	           4.092	           2.841	           2.219	           3.829
          15.338	           4.007	           3.640	           2.281	           3.901
          15.331	           4.304	           2.903	           2.280	           3.834
          15.386	           3.993	           3.199	           2.283	           3.894
          15.811	           4.032	           2.919	           2.281	           4.293
          15.778	           4.992	           2.920	           2.282	           5.066
          15.330	           4.197	           2.963	           2.280	           4.912
          15.337	           4.682	           2.946	           2.283	           3.754
          15.388	           4.216	           2.928	           2.286	           4.433
          15.345	           4.171	           2.839	           2.286	           5.349
          15.348	           4.020	           2.921	           2.284	           3.897
          15.344	           4.148	           5.063	           2.281	           3.828
          15.345	           4.100	           2.929	           2.285	           3.903
          15.333	           4.662	           2.923	           2.283	           3.828
          15.347	           4.031	           2.939	           2.898	           3.830
          15.767	           3.982	           2.975	           2.283	           3.879
          15.839	           4.032	           4.326	           3.134	           3.829
          15.765	           3.977	           3.098	           2.491	           3.827
          17.734	           3.862	           3.298	           2.630	           3.833
          15.401	           4.777	           3.543	           2.490	           3.854
          15.402	           4.557	           5.190	           2.568	           3.828
          15.777	           4.393	           3.786	           2.282	           3.826
          15.760	           3.920	           3.532	           2.284	           3.920
          15.778	           3.907	           3.524	           2.576	           3.826
          15.386	           3.956	           3.627	           2.567	           3.830
          15.342	           3.939	           3.409	           2.567	           3.825
          15.758	           4.567	           3.404	           2.284	           3.819
          15.826	           4.027	           3.227	           2.224	           3.824
          15.810	           4.233	           3.100	           2.222	           4.309
          16.010	           3.942	           2.920	           2.220	           3.819
          16.232	           4.024	           2.924	           2.221	           3.812
          15.772	           4.047	           2.861	           2.284	           3.831
          15.764	           4.141	           2.984	           2.285	           3.838
          15.813	           4.985	           2.920	           2.283	           3.847
          15.755	           3.998	           2.823	           2.283	           3.821
          15.819	           4.047	           2.832	           2.540	           3.823
          16.057	           4.261	           2.764	           2.285	           3.940
          15.759	           4.170	           2.866	           2.570	           4.306
          16.045	           3.912	           2.817	           2.221	           4.425
          15.794	           3.921	           2.916	           2.568	           3.836
          15.345	           4.047	           2.877	           2.282	           3.724
          15.767	           3.984	           2.921	           2.283	           3.728
          15.820	           4.195	           3.165	           2.281	           3.717
          20.273	           4.560	           2.896	           2.565	           3.725
          15.401	           4.555	           3.330	           2.221	           3.714
          18.786	           4.258	           3.182	           2.218	           3.728
          15.336	           4.306	           3.237	           2.282	           3.830
          15.771	           4.179	           3.084	           2.283	           4.908
          15.764	           4.143	           2.999	           2.283	           3.729
          15.402	           4.058	           2.961	           2.283	           3.721
          15.340	           4.137	           2.949	           2.279	           4.201
          15.344	           3.989	           2.923	           2.285	           3.902
          15.328	           4.341	           2.897	           2.568	           3.829
          15.407	           3.990	           2.868	           2.283	           3.937
          15.332	           4.164	           2.850	           2.568	           3.908
          15.400	           4.246	           2.909	           2.219	           3.820
          15.344	           4.183	           2.888	           2.222	           4.311
          15.334	           4.562	           3.258	           2.937	           3.851
          17.806	           4.061	           2.763	           2.569	           3.953
          15.480	           4.167	           2.924	           2.566	           3.892
          15.406	           4.384	           2.851	           2.219	           4.382
          15.396	           4.417	           2.929	           2.282	           3.819
          15.333	           4.401	           2.908	           2.222	           3.837
          15.374	           4.119	           2.938	           2.284	           4.292
          15.324	           4.957	           2.863	           2.221	           3.938
          16.117	           4.005	           3.292	           2.225	           3.845
          15.762	           4.115	           2.880	           2.283	           3.834
          15.349	           4.128	           2.890	           2.219	           4.291
          15.343	           5.443	           2.928	           2.664	           3.829
          15.391	           3.955	           2.856	           2.285	           3.879
          15.343	           4.380	           2.921	           2.285	           3.926
          15.338	           4.251	           2.866	           2.286	           3.826
          15.342	           4.490	           2.853	           2.282	           4.924
          15.395	           4.192	           2.823	           2.282	           3.891
          15.336	           4.379	           2.773	           2.223	           3.710
          15.346	           4.178	           2.949	           2.221	           4.298
          15.347	           4.327	           2.949	           2.282	           3.728
          15.343	           4.129	           2.899	           2.285	           3.727
          15.389	           6.369	           2.867	           2.285	           4.434
