           0.021 ( 0.144 %)	           0.007 ( 0.184 %)	           1.284 (27.156 %)	           0.025 ( 0.559 %)	           0.009 ( 0.272 %)
          10.016 (53.729 %)	           0.021 ( 0.534 %)	           0.012 ( 0.237 %)	           0.009 ( 0.193 %)	           0.010 ( 0.295 %)
           0.024 ( 0.164 %)	           0.007 ( 0.166 %)	           0.010 ( 0.213 %)	           0.009 ( 0.201 %)	           0.010 ( 0.309 %)
           9.873 (55.372 %)	           0.011 ( 0.268 %)	           0.009 ( 0.202 %)	           0.008 ( 0.176 %)	           0.011 ( 0.320 %)
           0.027 ( 0.182 %)	           0.010 ( 0.243 %)	           0.011 ( 0.223 %)	           0.008 ( 0.187 %)	           0.008 ( 0.235 %)
          11.119 (59.772 %)	           0.007 ( 0.167 %)	           0.008 ( 0.188 %)	           0.007 ( 0.158 %)	           0.010 ( 0.257 %)
           0.024 ( 0.165 %)	           0.009 ( 0.228 %)	           0.010 ( 0.213 %)	           0.073 ( 1.606 %)	           0.008 ( 0.230 %)
           9.242 (52.887 %)	           0.009 ( 0.238 %)	           0.009 ( 0.190 %)	           0.008 ( 0.174 %)	           0.009 ( 0.259 %)
           0.024 ( 0.164 %)	           0.009 ( 0.194 %)	           0.009 ( 0.208 %)	           0.009 ( 0.177 %)	           0.010 ( 0.282 %)
           0.081 ( 0.546 %)	           0.010 ( 0.255 %)	           0.008 ( 0.176 %)	           0.020 ( 0.434 %)	           0.021 ( 0.611 %)
           0.049 ( 0.335 %)	           0.008 ( 0.205 %)	           0.009 ( 0.204 %)	           0.009 ( 0.185 %)	           0.007 ( 0.208 %)
           4.676 (29.253 %)	           0.010 ( 0.248 %)	           0.009 ( 0.195 %)	           0.008 ( 0.177 %)	           0.024 ( 0.698 %)
           0.026 ( 0.171 %)	           0.006 ( 0.163 %)	           0.012 ( 0.244 %)	           0.008 ( 0.182 %)	           0.010 ( 0.309 %)
           0.106 ( 0.718 %)	           0.008 ( 0.203 %)	           0.008 ( 0.185 %)	           0.024 ( 0.529 %)	           0.008 ( 0.242 %)
           0.049 ( 0.332 %)	           0.012 ( 0.232 %)	           0.009 ( 0.198 %)	           0.007 ( 0.162 %)	           0.010 ( 0.301 %)
           0.551 ( 3.707 %)	           0.008 ( 0.178 %)	           0.010 ( 0.230 %)	           0.026 ( 0.590 %)	           0.011 ( 0.331 %)
           0.985 ( 6.598 %)	           0.008 ( 0.184 %)	           0.009 ( 0.214 %)	           0.011 ( 0.217 %)	           0.008 ( 0.246 %)
           6.736 (39.181 %)	           0.010 ( 0.220 %)	           0.029 ( 0.639 %)	           0.009 ( 0.202 %)	           0.010 ( 0.294 %)
           0.021 ( 0.141 %)	           0.009 ( 0.226 %)	           0.218 ( 4.943 %)	           0.012 ( 0.263 %)	           0.010 ( 0.306 %)
           0.048 ( 0.290 %)	           0.007 ( 0.187 %)	           0.074 ( 1.643 %)	           0.010 ( 0.223 %)	           0.011 ( 0.329 %)
           0.062 ( 0.408 %)	           0.033 ( 0.822 %)	           0.010 ( 0.221 %)	           0.009 ( 0.192 %)	           0.011 ( 0.320 %)
           7.398 (36.886 %)	           2.849 (63.369 %)	           0.011 ( 0.235 %)	           1.386 (29.188 %)	           0.026 ( 0.795 %)
           0.135 ( 0.912 %)	           0.007 ( 0.168 %)	           0.011 ( 0.249 %)	           0.010 ( 0.223 %)	           0.008 ( 0.243 %)
           1.814 (11.712 %)	           0.008 ( 0.184 %)	           0.011 ( 0.253 %)	           0.009 ( 0.203 %)	           0.011 ( 0.275 %)
           0.026 ( 0.172 %)	           0.008 ( 0.201 %)	           0.026 ( 0.574 %)	           0.009 ( 0.208 %)	           0.008 ( 0.256 %)
           0.025 ( 0.168 %)	           0.009 ( 0.226 %)	           0.013 ( 0.260 %)	           0.012 ( 0.257 %)	           0.010 ( 0.266 %)
           0.045 ( 0.305 %)	           0.009 ( 0.218 %)	           0.008 ( 0.183 %)	           0.008 ( 0.166 %)	           0.011 ( 0.322 %)
           0.061 ( 0.413 %)	           0.008 ( 0.212 %)	           0.026 ( 0.586 %)	           0.007 ( 0.170 %)	           0.011 ( 0.347 %)
           0.025 ( 0.166 %)	           0.010 ( 0.226 %)	           0.008 ( 0.185 %)	           0.009 ( 0.209 %)	           0.008 ( 0.240 %)
           0.022 ( 0.145 %)	           0.008 ( 0.215 %)	           0.010 ( 0.232 %)	           0.009 ( 0.216 %)	           0.012 ( 0.364 %)
           0.022 ( 0.149 %)	           0.009 ( 0.216 %)	           0.077 ( 1.742 %)	           0.009 ( 0.208 %)	           0.012 ( 0.307 %)
           0.742 ( 4.986 %)	           0.009 ( 0.178 %)	           0.009 ( 0.206 %)	           0.008 ( 0.183 %)	           0.009 ( 0.269 %)
