    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          90.323;           3.107;           3.393;           3.126;           0.054 ( 1.734 %);  19521.974
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         110.953;           3.109;           3.394;           3.126;           0.049 ( 1.558 %);  19524.434
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         246.263;           3.106;           3.385;           3.125;           0.048 ( 1.534 %);  19532.008
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.443;           3.106;           3.388;           3.125;           0.048 ( 1.550 %);  19532.197
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         116.547;           3.106;           3.388;           3.125;           0.048 ( 1.545 %);  19533.523
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         284.142;           3.106;           3.390;           3.125;           0.049 ( 1.567 %);  19533.523
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         124.837;           3.106;           3.397;           3.125;           0.050 ( 1.610 %);  19533.902
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         362.660;           3.107;           3.397;           3.125;           0.050 ( 1.590 %);  19534.281
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         105.504;           3.105;           3.391;           3.124;           0.049 ( 1.575 %);  19534.470
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2323.167;           3.105;           3.391;           3.124;           0.049 ( 1.572 %);  19535.039
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         743.226;           3.107;           3.383;           3.124;           0.048 ( 1.526 %);  19535.228
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          63.279;           3.105;           3.395;           3.124;           0.050 ( 1.599 %);  19536.175
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.580;           3.106;           3.390;           3.124;           0.049 ( 1.560 %);  19536.175
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         165.880;           3.106;           3.390;           3.124;           0.049 ( 1.554 %);  19536.175
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         122.196;           3.108;           3.390;           3.124;           0.048 ( 1.551 %);  19537.123
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         220.307;           3.106;           3.393;           3.124;           0.049 ( 1.581 %);  19537.123
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         656.418;           3.106;           3.397;           3.124;           0.050 ( 1.596 %);  19537.692
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1938.464;           3.107;           3.391;           3.124;           0.049 ( 1.554 %);  19538.260
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          77.672;           3.106;           3.387;           3.124;           0.048 ( 1.525 %);  19538.450
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         168.219;           3.106;           3.395;           3.124;           0.049 ( 1.579 %);  19538.450
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.237;           3.105;           3.383;           3.124;           0.047 ( 1.516 %);  19538.639
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.669;           3.107;           3.385;           3.124;           0.048 ( 1.523 %);  19538.829
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          81.361;           3.108;           3.384;           3.124;           0.047 ( 1.515 %);  19539.397
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         245.262;           3.107;           3.393;           3.124;           0.049 ( 1.576 %);  19539.397
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         237.252;           3.106;           3.396;           3.124;           0.050 ( 1.590 %);  19539.587
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          81.330;           3.106;           3.383;           3.124;           0.047 ( 1.509 %);  19540.156
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         109.228;           3.106;           3.398;           3.124;           0.050 ( 1.606 %);  19540.156
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.522;           3.106;           3.394;           3.123;           0.050 ( 1.585 %);  19541.293
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         204.080;           3.106;           3.387;           3.123;           0.048 ( 1.536 %);  19541.672
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         155.197;           3.105;           3.392;           3.123;           0.049 ( 1.565 %);  19542.051
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1091.345;           3.106;           3.394;           3.123;           0.049 ( 1.573 %);  19542.241
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         262.945;           3.105;           3.391;           3.123;           0.049 ( 1.570 %);  19544.327
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.420;           3.106;           3.394;           3.123;           0.049 ( 1.577 %);  19544.706
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.902;           3.105;           3.394;           3.123;           0.049 ( 1.576 %);  19545.275
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.879;           3.106;           3.384;           3.123;           0.047 ( 1.520 %);  19545.465
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          38.018;           3.105;           3.391;           3.123;           0.049 ( 1.559 %);  19545.655
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          56.706;           3.105;           3.390;           3.123;           0.048 ( 1.553 %);  19545.844
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         105.191;           3.105;           3.383;           3.123;           0.047 ( 1.517 %);  19546.034
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1490.349;           3.105;           3.384;           3.123;           0.047 ( 1.519 %);  19546.413
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          63.261;           3.105;           3.384;           3.122;           0.047 ( 1.519 %);  19547.172
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         170.021;           3.106;           3.392;           3.122;           0.049 ( 1.574 %);  19548.121
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          49.637;           3.112;           3.157;           3.121;           0.008 ( 0.250 %);  19559.131
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         184.139;           3.107;           3.150;           3.115;           0.008 ( 0.254 %);  19594.332
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         190.659;           3.022;           3.334;           3.055;           0.083 ( 2.712 %);  19976.001
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         140.550;           3.023;           3.348;           3.048;           0.071 ( 2.343 %);  20025.454
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          42.275;           3.021;           3.349;           3.048;           0.071 ( 2.333 %);  20025.653
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          91.384;           3.025;           3.297;           3.045;           0.050 ( 1.657 %);  20046.780
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1221.119;           3.022;           3.298;           3.043;           0.051 ( 1.684 %);  20060.557
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.244;           3.022;           3.301;           3.042;           0.053 ( 1.727 %);  20062.555
