     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          86.869;           3.560;           4.313;           4.094;           0.103 ( 2.508 %);  14908.441
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         117.008;           4.372;           4.410;           4.383;           0.007 ( 0.171 %);  13924.948
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          70.900;           3.565;           4.117;           4.084;           0.106 ( 2.603 %);  14944.613
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          55.850;           4.372;           4.615;           4.389;           0.041 ( 0.935 %);  13906.008
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         154.562;           3.563;           3.800;           3.578;           0.040 ( 1.121 %);  17056.289
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         687.614;           4.373;           4.513;           4.386;           0.024 ( 0.538 %);  13915.424
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          42.014;           3.560;           4.410;           3.643;           0.210 ( 5.769 %);  16753.674
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          53.496;           4.372;           4.516;           4.385;           0.024 ( 0.549 %);  13917.539
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         163.203;           4.220;           4.432;           4.236;           0.036 ( 0.844 %);  14409.605
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          63.353;           4.494;           4.542;           4.504;           0.009 ( 0.199 %);  13551.687
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2391.768;           4.215;           4.422;           4.232;           0.035 ( 0.820 %);  14422.502
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.225;           4.494;           4.548;           4.505;           0.010 ( 0.220 %);  13547.950
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         185.089;           3.668;           4.436;           3.700;           0.132 ( 3.575 %);  16496.529
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        5289.766;           4.496;           4.553;           4.508;           0.011 ( 0.233 %);  13538.570
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          81.175;           4.125;           4.370;           4.142;           0.041 ( 1.001 %);  14737.074
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         157.346;           5.054;           5.105;           5.067;           0.010 ( 0.194 %);  12044.539
