     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         251.806;           3.661;           3.943;           3.685;           0.060 ( 1.633 %);  16563.272
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          49.346;           3.378;           3.431;           3.393;           0.009 ( 0.269 %);  17990.159
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         257.817;           3.661;           3.942;           3.684;           0.060 ( 1.633 %);  16569.131
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2340.913;           3.384;           3.437;           3.394;           0.009 ( 0.278 %);  17981.967
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         107.078;           4.118;           4.435;           4.145;           0.065 ( 1.568 %);  14725.115
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         341.150;           3.810;           3.860;           3.820;           0.009 ( 0.235 %);  15977.790
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         195.692;           4.119;           4.435;           4.146;           0.066 ( 1.595 %);  14721.994
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         360.141;           3.803;           3.870;           3.817;           0.011 ( 0.297 %);  15988.951
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         207.231;           4.122;           4.445;           4.150;           0.066 ( 1.602 %);  14708.555
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         399.976;           3.807;           3.849;           3.817;           0.008 ( 0.206 %);  15989.713
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         309.525;           3.572;           3.779;           3.589;           0.035 ( 0.963 %);  17008.327
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1470.023;           3.287;           3.341;           3.302;           0.009 ( 0.278 %);  18487.014
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         137.232;           3.563;           3.928;           3.591;           0.077 ( 2.152 %);  16997.419
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          40.070;           3.293;           3.341;           3.303;           0.009 ( 0.268 %);  18481.077
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          92.556;           3.662;           3.956;           3.685;           0.060 ( 1.618 %);  16564.090
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         162.702;           3.383;           3.431;           3.393;           0.008 ( 0.247 %);  17986.142
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         115.566;           3.662;           3.952;           3.680;           0.049 ( 1.336 %);  16587.279
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         179.024;           3.383;           3.435;           3.395;           0.010 ( 0.285 %);  17977.152
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         153.744;           3.660;           3.944;           3.686;           0.065 ( 1.775 %);  16558.098
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         175.776;           3.382;           3.446;           3.395;           0.011 ( 0.319 %);  17979.720
