     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;       11342.693;           7.606;          16.821;           7.918;           1.599 (20.191 %);   7708.671
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         699.553;           5.904;          28.348;           6.601;           3.904 (59.144 %);   9246.520
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          57.031;           5.244;           5.397;           5.269;           0.025 ( 0.472 %);  11583.888
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         188.192;           4.889;           4.939;           4.901;           0.010 ( 0.204 %);  12452.843
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          97.510;           5.070;          19.923;           5.575;           2.577 (46.226 %);  10948.546
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         109.850;           4.722;           4.768;           4.738;           0.010 ( 0.207 %);  12882.051
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         137.333;           5.074;           5.222;           5.092;           0.025 ( 0.488 %);  11986.409
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         340.909;           4.721;           4.764;           4.738;           0.009 ( 0.184 %);  12883.204
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         109.065;           4.910;           5.059;           4.929;           0.026 ( 0.518 %);  12383.401
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.545;           4.570;           4.616;           4.584;           0.008 ( 0.183 %);  13316.233
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          79.238;           4.615;           4.746;           4.630;           0.022 ( 0.479 %);  13181.849
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          39.829;           4.291;           4.349;           4.307;           0.012 ( 0.281 %);  14172.050
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          65.222;           4.349;          18.606;           4.883;           2.464 (50.470 %);  12499.598
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        3964.939;           4.046;           4.096;           4.060;           0.009 ( 0.214 %);  15032.168
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          78.637;           4.229;           4.459;           4.248;           0.039 ( 0.910 %);  14367.155
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          81.008;           3.934;           3.985;           3.948;           0.010 ( 0.245 %);  15458.817
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         470.856;           4.115;           4.226;           4.129;           0.019 ( 0.455 %);  14781.959
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          37.552;           3.834;           3.880;           3.843;           0.009 ( 0.225 %);  15882.414
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         367.539;           4.115;           4.212;           4.130;           0.016 ( 0.392 %);  14779.356
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         243.696;           3.831;           3.886;           3.842;           0.010 ( 0.259 %);  15887.050
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          47.602;           4.109;           4.239;           4.130;           0.021 ( 0.508 %);  14777.079
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         359.347;           3.831;           3.886;           3.843;           0.009 ( 0.242 %);  15880.912
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         110.539;           4.114;           4.510;           4.138;           0.067 ( 1.622 %);  14748.513
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         103.629;           3.827;           3.877;           3.841;           0.009 ( 0.237 %);  15889.556
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          84.909;           4.115;           4.220;           4.130;           0.017 ( 0.422 %);  14779.356
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         357.329;           3.832;           3.874;           3.841;           0.009 ( 0.224 %);  15888.804
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         125.195;           4.115;           4.207;           4.130;           0.016 ( 0.380 %);  14780.006
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          53.858;           3.832;           3.868;           3.841;           0.007 ( 0.178 %);  15890.559
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         167.529;           4.123;           4.241;           4.137;           0.020 ( 0.482 %);  14753.158
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          51.526;           3.832;           3.876;           3.842;           0.008 ( 0.210 %);  15887.300
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          48.837;           4.109;           4.229;           4.129;           0.019 ( 0.469 %);  14780.657
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.404;           3.829;           3.872;           3.842;           0.008 ( 0.219 %);  15886.674
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         101.643;           4.224;           4.343;           4.244;           0.019 ( 0.459 %);  14381.414
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         172.408;           3.933;           3.967;           3.947;           0.007 ( 0.180 %);  15462.377
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         163.547;           4.231;           4.334;           4.245;           0.017 ( 0.410 %);  14378.950
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          89.329;           3.932;           3.973;           3.948;           0.008 ( 0.201 %);  15460.715
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         172.441;           4.111;           4.213;           4.130;           0.017 ( 0.412 %);  14776.753
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1096.146;           3.832;           3.863;           3.841;           0.006 ( 0.157 %);  15890.434
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         413.863;           4.758;           4.881;           4.775;           0.021 ( 0.438 %);  12781.177
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         282.755;           4.431;           4.481;           4.442;           0.010 ( 0.215 %);  13739.062
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         351.891;           4.226;           4.352;           4.246;           0.021 ( 0.492 %);  14373.819
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          67.925;           3.937;           3.974;           3.948;           0.008 ( 0.191 %);  15460.241
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          68.790;           4.225;           4.336;           4.245;           0.018 ( 0.435 %);  14379.155
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         127.361;           3.938;           3.973;           3.948;           0.007 ( 0.180 %);  15460.953
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         201.962;           4.112;           4.222;           4.129;           0.018 ( 0.445 %);  14780.766
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         129.424;           3.833;           3.869;           3.842;           0.008 ( 0.201 %);  15887.927
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         831.148;           4.111;           4.237;           4.131;           0.021 ( 0.506 %);  14774.477
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         166.126;           3.826;           3.880;           3.837;           0.010 ( 0.256 %);  15907.125
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          98.122;           4.117;           4.215;           4.130;           0.017 ( 0.405 %);  14777.838
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          33.573;           3.832;           3.861;           3.842;           0.007 ( 0.180 %);  15885.295
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         148.286;           4.110;           4.219;           4.130;           0.018 ( 0.444 %);  14777.946
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         209.369;           3.827;           3.866;           3.841;           0.007 ( 0.190 %);  15890.434
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         954.732;           4.224;           4.337;           4.244;           0.019 ( 0.450 %);  14381.619
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.935;           3.939;           3.973;           3.949;           0.007 ( 0.187 %);  15456.326
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          57.095;           4.223;           4.338;           4.244;           0.019 ( 0.439 %);  14382.235
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.640;           3.933;           3.981;           3.948;           0.009 ( 0.219 %);  15458.461
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          84.736;           5.435;           5.595;           5.457;           0.026 ( 0.481 %);  11185.118
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         136.496;           5.065;           5.109;           5.075;           0.009 ( 0.171 %);  12026.560
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          85.602;           5.435;           5.824;           5.465;           0.065 ( 1.191 %);  11169.116
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          83.595;           5.068;           5.115;           5.079;           0.009 ( 0.180 %);  12016.658
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          66.192;           4.751;           4.907;           4.773;           0.026 ( 0.535 %);  12787.994
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1700.257;           4.425;           4.472;           4.441;           0.009 ( 0.207 %);  13744.312
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          75.220;           4.758;           4.888;           4.776;           0.021 ( 0.446 %);  12780.691
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          77.195;           4.427;           5.394;           4.472;           0.166 ( 3.705 %);  13647.181
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         206.380;           4.112;           4.227;           4.130;           0.019 ( 0.471 %);  14779.139
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.359;           3.829;           3.877;           3.841;           0.008 ( 0.220 %);  15888.554
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          54.958;           4.758;           4.888;           4.776;           0.022 ( 0.453 %);  12780.123
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          69.830;           4.428;           4.479;           4.442;           0.010 ( 0.225 %);  13741.217
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          75.158;           4.113;           4.229;           4.128;           0.019 ( 0.465 %);  14785.323
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         350.038;           3.833;           3.860;           3.842;           0.006 ( 0.156 %);  15886.298
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.367;           4.224;           4.321;           4.244;           0.016 ( 0.379 %);  14381.825
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         123.978;           3.935;           3.982;           3.948;           0.008 ( 0.211 %);  15460.359
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         167.932;           4.228;           4.424;           4.247;           0.032 ( 0.763 %);  14369.717
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         243.422;           3.937;           3.982;           3.949;           0.009 ( 0.227 %);  15456.563
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         102.564;           4.109;           4.234;           4.130;           0.021 ( 0.497 %);  14778.380
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.179;           3.830;          18.871;           4.834;           3.556 (73.572 %);  12627.013
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         178.397;           4.231;           6.763;           4.396;           0.598 (13.612 %);  13883.579
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          43.829;           3.935;          28.149;           5.495;           4.885 (88.895 %);  11107.766
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          29.892;           4.225;           4.329;           4.244;           0.017 ( 0.400 %);  14380.182
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.352;           3.940;           3.973;           3.948;           0.007 ( 0.187 %);  15458.698
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         218.572;           4.226;          11.433;           4.461;           1.252 (28.062 %);  13682.503
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2335.948;           3.935;           3.986;           3.950;           0.008 ( 0.215 %);  15451.583
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         103.176;           5.436;           5.618;           5.458;           0.030 ( 0.558 %);  11182.820
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         527.163;           5.058;           5.126;           5.071;           0.012 ( 0.243 %);  12036.766
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         460.535;           4.225;           4.437;           4.247;           0.036 ( 0.844 %);  14370.640
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1014.786;           3.938;          16.762;           4.344;           2.229 (51.316 %);  14049.176
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          51.442;           4.229;           4.359;           4.246;           0.022 ( 0.515 %);  14374.640
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         126.894;           3.937;           3.969;           3.948;           0.007 ( 0.184 %);  15460.834
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
