     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1274.887;           6.589;           7.583;           6.634;           0.171 ( 2.573 %);   9200.649
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          94.698;           8.093;           8.179;           8.114;           0.016 ( 0.196 %);   7522.035
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         155.556;           4.392;           4.637;           4.408;           0.042 ( 0.943 %);  13845.785
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         241.207;           5.392;           5.444;           5.404;           0.010 ( 0.186 %);  11294.567
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         123.346;           4.255;           4.488;           4.272;           0.039 ( 0.918 %);  14286.850
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.917;           5.222;           5.264;           5.233;           0.009 ( 0.165 %);  11663.241
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2940.437;           3.993;           4.222;           4.008;           0.039 ( 0.968 %);  15226.490
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         115.602;           4.901;           4.936;           4.912;           0.008 ( 0.163 %);  12424.804
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         105.425;           3.877;           4.093;           3.892;           0.036 ( 0.936 %);  15682.453
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         162.425;           4.756;           4.803;           4.768;           0.009 ( 0.194 %);  12801.323
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
