     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         298.579;           3.833;           4.091;           3.849;           0.044 ( 1.138 %);  15857.906
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        3331.567;           3.022;           3.296;           3.039;           0.047 ( 1.547 %);  20081.157
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.631;           3.941;           4.171;           3.958;           0.039 ( 0.977 %);  15421.061
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        3550.368;           3.110;           3.397;           3.128;           0.050 ( 1.600 %);  19514.598
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         101.075;           3.940;           4.150;           3.955;           0.035 ( 0.897 %);  15431.812
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         291.719;           3.105;           3.386;           3.128;           0.059 ( 1.874 %);  19511.384
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         266.131;           3.833;           4.052;           3.849;           0.037 ( 0.958 %);  15857.531
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         658.619;           3.022;           3.308;           3.040;           0.049 ( 1.609 %);  20079.155
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         119.740;           3.939;           4.154;           3.954;           0.036 ( 0.919 %);  15435.715
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.902;           3.105;           3.394;           3.123;           0.049 ( 1.576 %);  19545.275
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          70.850;           3.940;           4.168;           3.956;           0.039 ( 0.976 %);  15430.039
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         170.021;           3.106;           3.392;           3.122;           0.049 ( 1.574 %);  19548.121
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         138.526;           3.945;           4.171;           3.961;           0.038 ( 0.961 %);  15407.966
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         165.880;           3.106;           3.390;           3.124;           0.049 ( 1.554 %);  19536.175
