     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          59.042;           9.516;          27.688;          10.540;           3.697 (35.076 %);   5790.545
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          90.560;           8.853;           8.966;           8.883;           0.019 ( 0.216 %);   6871.031
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.351;           5.435;           5.586;           5.456;           0.025 ( 0.454 %);  11186.547
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         118.313;           5.059;           5.107;           5.076;           0.010 ( 0.203 %);  12023.616
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         112.622;           5.070;           5.219;           5.093;           0.025 ( 0.482 %);  11984.126
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          77.357;           4.721;           4.783;           4.739;           0.011 ( 0.225 %);  12879.332
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          60.688;           4.907;           5.054;           4.929;           0.025 ( 0.499 %);  12384.010
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         375.947;           4.568;           4.624;           4.586;           0.010 ( 0.217 %);  13308.490
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         143.118;           4.752;           4.884;           4.774;           0.023 ( 0.472 %);  12784.909
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          90.889;           4.432;           4.481;           4.443;           0.010 ( 0.226 %);  13737.750
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         164.286;           4.606;           4.728;           4.628;           0.020 ( 0.433 %);  13188.495
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         102.758;           4.292;           4.348;           4.307;           0.010 ( 0.227 %);  14172.549
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         205.418;           4.345;           4.471;           4.366;           0.021 ( 0.472 %);  13979.942
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          65.872;           4.046;           4.088;           4.061;           0.008 ( 0.203 %);  15031.046
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          86.845;           4.223;           4.455;           4.246;           0.038 ( 0.904 %);  14374.127
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         124.703;           3.936;           3.984;           3.948;           0.009 ( 0.234 %);  15458.105
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1234.766;           4.753;           4.876;           4.775;           0.020 ( 0.418 %);  12781.745
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         204.686;           4.428;           4.477;           4.443;           0.010 ( 0.218 %);  13738.499
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1047.952;           4.115;           4.240;           4.133;           0.021 ( 0.508 %);  14766.678
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          78.080;           3.832;           3.870;           3.843;           0.007 ( 0.183 %);  15883.792
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          49.926;           4.109;           4.212;           4.128;           0.017 ( 0.411 %);  14786.300
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          72.778;           3.832;           3.874;           3.842;           0.008 ( 0.215 %);  15885.797
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.980;           4.229;           4.339;           4.245;           0.019 ( 0.443 %);  14376.487
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          98.027;           3.935;           3.987;           3.949;           0.010 ( 0.243 %);  15454.784
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         156.909;           4.230;           4.362;           4.245;           0.022 ( 0.519 %);  14376.692
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2640.039;           3.934;           3.979;           3.948;           0.009 ( 0.216 %);  15459.054
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         416.951;           4.223;           4.320;           4.241;           0.016 ( 0.380 %);  14390.662
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         223.787;           3.934;           3.978;           3.948;           0.008 ( 0.193 %);  15458.342
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         171.509;           4.224;           4.329;           4.242;           0.018 ( 0.412 %);  14386.653
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          62.755;           3.934;           3.975;           3.949;           0.008 ( 0.198 %);  15456.681
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         326.422;           4.110;           4.229;           4.128;           0.020 ( 0.474 %);  14786.951
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          30.804;           3.831;           3.864;           3.842;           0.007 ( 0.183 %);  15887.050
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         132.416;           4.110;           4.229;           4.129;           0.020 ( 0.484 %);  14781.308
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          83.537;           3.829;           3.866;           3.842;           0.008 ( 0.206 %);  15886.799
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         164.668;           4.114;           4.476;           4.137;           0.061 ( 1.480 %);  14753.915
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        4067.564;           3.832;           3.974;           3.845;           0.024 ( 0.628 %);  15872.777
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         504.333;           4.110;           4.216;           4.127;           0.018 ( 0.438 %);  14789.448
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1230.107;           3.828;           3.872;           3.842;           0.008 ( 0.220 %);  15887.050
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          76.121;           4.119;           4.216;           4.136;           0.016 ( 0.379 %);  14756.509
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         237.901;           3.833;           3.868;           3.843;           0.007 ( 0.193 %);  15883.416
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         221.597;           4.111;           4.224;           4.131;           0.019 ( 0.450 %);  14774.802
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         413.321;           3.829;           3.866;           3.842;           0.007 ( 0.180 %);  15887.802
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         248.889;           4.114;           4.243;           4.131;           0.021 ( 0.520 %);  14775.128
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         141.773;           3.829;           3.866;           3.842;           0.007 ( 0.180 %);  15885.671
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         518.392;           4.108;           4.234;           4.129;           0.020 ( 0.490 %);  14780.983
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         159.582;           3.830;           3.879;           3.842;           0.009 ( 0.223 %);  15884.419
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         248.854;           4.109;           4.218;           4.128;           0.018 ( 0.440 %);  14784.237
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         134.184;           3.832;           3.864;           3.842;           0.007 ( 0.174 %);  15886.924
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         331.895;           4.108;           4.197;           4.129;           0.015 ( 0.364 %);  14783.586
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         105.948;           3.828;           3.872;           3.842;           0.008 ( 0.198 %);  15887.676
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         171.865;           4.115;           4.203;           4.130;           0.015 ( 0.354 %);  14779.898
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         191.351;           3.831;           3.867;           3.842;           0.008 ( 0.214 %);  15887.551
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         270.763;           4.110;           4.218;           4.128;           0.018 ( 0.427 %);  14784.346
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;      159670.399;           3.828;           3.866;           3.844;           0.008 ( 0.203 %);  15879.535
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.409;           4.112;           4.221;           4.130;           0.018 ( 0.437 %);  14779.573
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         197.258;           3.832;           3.867;           3.841;           0.007 ( 0.184 %);  15888.804
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         250.661;           4.754;           4.858;           4.774;           0.018 ( 0.367 %);  12784.990
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         236.916;           4.426;           4.475;           4.442;           0.009 ( 0.203 %);  13739.155
