     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          69.905;           8.888;          10.162;          10.009;           0.344 ( 3.437 %);   6097.954
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          51.672;          10.114;          10.185;          10.136;           0.016 ( 0.159 %);   6021.496
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         174.002;           5.089;           5.799;           5.753;           0.135 ( 2.355 %);  10609.945
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          72.414;           5.394;          20.466;           6.259;           2.626 (41.959 %);   9751.583
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          68.056;           4.727;           5.412;           5.229;           0.291 ( 5.559 %);  11672.772
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          99.953;           5.393;           5.442;           5.407;           0.010 ( 0.189 %);  11288.996
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          99.955;           5.056;           5.477;           5.230;           0.054 ( 1.030 %);  11669.255
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          43.160;           5.220;           5.274;           5.232;           0.010 ( 0.195 %);  11666.079
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        3605.537;           4.432;           5.081;           4.968;           0.216 ( 4.340 %);  12286.334
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1551.757;           5.056;           5.099;           5.068;           0.008 ( 0.166 %);  12042.595
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        2147.645;           4.430;           5.075;           4.826;           0.304 ( 6.289 %);  12646.676
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          57.217;           5.055;           5.100;           5.068;           0.009 ( 0.172 %);  12042.811
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         159.363;           3.841;           4.388;           4.313;           0.166 ( 3.840 %);  14151.141
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          69.644;           4.374;           4.404;           4.385;           0.007 ( 0.160 %);  13920.617
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          97.042;           4.428;           5.089;           4.635;           0.286 ( 6.174 %);  13169.610
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         931.140;           5.368;           5.411;           5.379;           0.009 ( 0.164 %);  11345.911
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          51.223;           3.831;           4.579;           4.206;           0.257 ( 6.102 %);  14510.509
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         123.154;           4.373;           4.508;           4.386;           0.023 ( 0.515 %);  13915.424
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         213.112;           4.664;           5.075;           5.042;           0.087 ( 1.733 %);  12104.619
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          61.688;           5.055;           5.100;           5.068;           0.009 ( 0.170 %);  12043.171
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         132.789;           4.379;           4.595;           4.397;           0.036 ( 0.830 %);  13882.143
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         163.583;           4.372;           4.408;           4.384;           0.008 ( 0.179 %);  13922.157
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         100.039;           5.067;           5.799;           5.707;           0.214 ( 3.742 %);  10694.675
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          93.742;           5.779;           5.820;           5.793;           0.009 ( 0.158 %);  10535.853
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         142.635;           3.831;          18.518;           4.733;           2.481 (52.429 %);  12896.568
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         348.144;           4.494;           4.537;           4.506;           0.009 ( 0.198 %);  13545.945
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         746.318;           4.315;           4.526;           4.507;           0.035 ( 0.776 %);  13543.668
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.216;           4.496;           4.520;           4.506;           0.007 ( 0.161 %);  13545.763
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         220.340;           3.939;           4.513;           4.012;           0.168 ( 4.179 %);  15212.460
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         101.071;           4.494;           4.522;           4.506;           0.007 ( 0.151 %);  13546.674
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.387;           3.948;           4.511;           4.432;           0.172 ( 3.872 %);  13770.246
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         186.109;           4.495;           4.519;           4.505;           0.007 ( 0.151 %);  13548.132
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         316.697;           3.946;           4.227;           3.968;           0.056 ( 1.403 %);  15383.254
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        7717.580;           4.497;           4.538;           4.507;           0.008 ( 0.174 %);  13540.937
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         101.156;           3.938;           4.503;           3.978;           0.112 ( 2.808 %);  15343.527
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         308.617;           4.494;           4.552;           4.506;           0.011 ( 0.238 %);  13544.943
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         287.373;           3.938;           4.715;           4.433;           0.193 ( 4.351 %);  13768.834
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         405.401;           4.495;           4.540;           4.505;           0.009 ( 0.191 %);  13547.494
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         145.551;           3.951;           4.615;           4.481;           0.110 ( 2.445 %);  13620.971
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         114.507;           4.495;           4.525;           4.507;           0.007 ( 0.163 %);  13543.577
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          65.019;           4.438;           5.076;           4.511;           0.183 ( 4.058 %);  13531.385
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         180.132;           5.056;           5.102;           5.067;           0.009 ( 0.177 %);  12044.539
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         103.645;           3.949;           4.707;           4.450;           0.171 ( 3.834 %);  13717.073
