           0.057 ( 0.787 %)	           0.008 ( 0.426 %)	           0.008 ( 0.379 %)	           0.008 ( 0.416 %)	           0.011 ( 0.271 %)
           0.039 ( 0.458 %)	           0.008 ( 0.389 %)	           0.008 ( 0.396 %)	           0.007 ( 0.357 %)	           0.007 ( 0.245 %)
           2.536 (32.755 %)	           0.009 ( 0.467 %)	           0.006 ( 0.328 %)	           0.007 ( 0.343 %)	           0.006 ( 0.184 %)
           0.023 ( 0.311 %)	           1.274 (56.712 %)	           0.008 ( 0.411 %)	           0.007 ( 0.345 %)	           0.010 ( 0.345 %)
           0.026 ( 0.358 %)	           0.012 ( 0.574 %)	           0.009 ( 0.437 %)	           0.007 ( 0.337 %)	           0.029 ( 0.932 %)
           0.047 ( 0.650 %)	           0.009 ( 0.462 %)	           0.008 ( 0.378 %)	           0.007 ( 0.361 %)	           0.011 ( 0.372 %)
           0.040 ( 0.535 %)	           0.007 ( 0.344 %)	           0.007 ( 0.339 %)	           0.007 ( 0.348 %)	           0.007 ( 0.237 %)
           0.026 ( 0.346 %)	           0.008 ( 0.398 %)	           0.008 ( 0.402 %)	           0.006 ( 0.324 %)	           0.100 ( 3.197 %)
           0.027 ( 0.370 %)	           0.009 ( 0.430 %)	           0.008 ( 0.377 %)	           0.007 ( 0.353 %)	           0.026 ( 0.805 %)
           0.044 ( 0.520 %)	           0.866 (32.014 %)	           0.009 ( 0.437 %)	           0.009 ( 0.399 %)	           0.008 ( 0.248 %)
           0.043 ( 0.573 %)	           0.010 ( 0.497 %)	           0.009 ( 0.423 %)	           0.006 ( 0.274 %)	           0.019 ( 0.544 %)
           0.031 ( 0.416 %)	           3.618 (134.577 %)	           0.016 ( 0.782 %)	           0.009 ( 0.466 %)	           0.012 ( 0.365 %)
           0.028 ( 0.390 %)	           0.008 ( 0.398 %)	           0.009 ( 0.445 %)	           0.008 ( 0.397 %)	           0.007 ( 0.233 %)
           0.022 ( 0.303 %)	           0.008 ( 0.397 %)	           0.008 ( 0.428 %)	           0.005 ( 0.266 %)	           0.008 ( 0.251 %)
           0.030 ( 0.414 %)	           0.009 ( 0.438 %)	           0.009 ( 0.449 %)	           0.006 ( 0.289 %)	           0.010 ( 0.328 %)
           0.036 ( 0.490 %)	           0.010 ( 0.437 %)	           0.014 ( 0.730 %)	           0.008 ( 0.345 %)	           0.009 ( 0.283 %)
