           0.075 ( 0.423 %)	           0.015 ( 0.364 %)	           2.471 (51.831 %)	           0.121 ( 2.877 %)	           0.039 ( 0.978 %)
           0.070 ( 0.396 %)	           0.018 ( 0.419 %)	           0.227 ( 5.344 %)	           0.289 ( 7.185 %)	           0.060 ( 1.506 %)
           0.067 ( 0.375 %)	           0.018 ( 0.431 %)	           1.362 (32.148 %)	           0.173 ( 4.157 %)	           0.049 ( 1.224 %)
           0.081 ( 0.455 %)	           0.018 ( 0.428 %)	           0.209 ( 4.748 %)	           0.128 ( 3.395 %)	           0.054 ( 1.368 %)
           0.071 ( 0.398 %)	           0.019 ( 0.441 %)	           0.074 ( 1.662 %)	           0.140 ( 3.413 %)	           0.052 ( 1.304 %)
           0.092 ( 0.519 %)	           0.018 ( 0.425 %)	           0.111 ( 2.475 %)	           0.154 ( 3.632 %)	           0.050 ( 1.266 %)
           0.058 ( 0.324 %)	           0.018 ( 0.436 %)	           0.234 ( 5.770 %)	           0.090 ( 1.895 %)	           0.069 ( 1.731 %)
           8.976 (40.724 %)	           0.017 ( 0.410 %)	           0.049 ( 1.100 %)	           0.181 ( 4.402 %)	           0.039 ( 0.993 %)
           0.100 ( 0.562 %)	           0.019 ( 0.438 %)	           2.770 (50.634 %)	           0.136 ( 3.484 %)	           0.052 ( 1.312 %)
           0.071 ( 0.402 %)	           0.015 ( 0.351 %)	           0.166 ( 3.748 %)	           0.228 ( 5.714 %)	           0.045 ( 1.142 %)
           0.073 ( 0.411 %)	           0.030 ( 0.722 %)	           0.117 ( 2.618 %)	           0.193 ( 4.104 %)	           0.048 ( 1.217 %)
           1.030 ( 4.978 %)	           0.019 ( 0.469 %)	           0.151 ( 3.499 %)	           0.114 ( 2.801 %)	           0.054 ( 1.398 %)
           0.072 ( 0.395 %)	           0.017 ( 0.405 %)	           0.212 ( 4.817 %)	           0.230 ( 5.618 %)	           0.044 ( 1.134 %)
           0.065 ( 0.357 %)	           0.020 ( 0.479 %)	           0.028 ( 0.618 %)	           0.135 ( 2.861 %)	           3.154 (56.479 %)
           0.074 ( 0.418 %)	           0.037 ( 0.773 %)	           0.134 ( 2.660 %)	           2.526 (55.607 %)	           4.373 (81.340 %)
           0.083 ( 0.465 %)	           0.057 ( 1.340 %)	           0.152 ( 3.412 %)	           0.195 ( 4.162 %)	           0.050 ( 1.260 %)
           0.068 ( 0.384 %)	           0.021 ( 0.495 %)	           0.170 ( 3.837 %)	           0.150 ( 3.605 %)	           0.050 ( 1.203 %)
           0.082 ( 0.462 %)	           0.017 ( 0.399 %)	           0.071 ( 1.790 %)	           0.051 ( 1.215 %)	           0.056 ( 1.224 %)
           0.089 ( 0.502 %)	           0.019 ( 0.466 %)	           0.174 ( 3.921 %)	           0.112 ( 2.655 %)	           0.055 ( 1.226 %)
           0.068 ( 0.371 %)	           0.016 ( 0.380 %)	           0.147 ( 3.293 %)	           0.371 ( 9.075 %)	           0.051 ( 1.214 %)
           0.086 ( 0.417 %)	           0.017 ( 0.417 %)	           0.223 ( 4.168 %)	           0.038 ( 0.791 %)	           0.038 ( 0.917 %)
           0.079 ( 0.444 %)	           0.016 ( 0.376 %)	           0.172 ( 3.435 %)	           0.221 ( 5.376 %)	           0.038 ( 0.924 %)
           0.107 ( 0.600 %)	           0.020 ( 0.477 %)	           1.300 (28.104 %)	           0.168 ( 3.586 %)	           0.054 ( 1.286 %)
           0.077 ( 0.431 %)	           0.018 ( 0.427 %)	           4.065 (73.824 %)	           0.167 ( 3.618 %)	           0.065 ( 1.464 %)
           0.111 ( 0.625 %)	           0.022 ( 0.525 %)	           0.103 ( 2.292 %)	           0.113 ( 2.681 %)	           0.043 ( 0.989 %)
           0.075 ( 0.418 %)	           0.020 ( 0.475 %)	           0.292 ( 6.302 %)	           0.115 ( 2.753 %)	           0.054 ( 1.176 %)
           0.064 ( 0.350 %)	           0.018 ( 0.425 %)	           0.212 ( 4.818 %)	           0.147 ( 3.406 %)	           0.044 ( 0.929 %)
           8.402 (38.857 %)	           0.034 ( 0.719 %)	           0.236 ( 5.583 %)	           0.060 ( 1.424 %)	           0.122 ( 2.564 %)
           0.074 ( 0.416 %)	           0.019 ( 0.470 %)	           0.235 ( 4.738 %)	           0.159 ( 4.205 %)	           0.053 ( 1.082 %)
          13.295 (59.554 %)	           0.021 ( 0.519 %)	           0.191 ( 4.313 %)	           0.069 ( 1.452 %)	           0.051 ( 1.032 %)
           0.075 ( 0.411 %)	           0.020 ( 0.488 %)	           0.169 ( 3.798 %)	           0.151 ( 3.626 %)	           0.056 ( 1.130 %)
           0.085 ( 0.464 %)	           0.054 ( 1.137 %)	           0.164 ( 3.793 %)	           2.447 (43.341 %)	           0.180 ( 3.768 %)
           0.099 ( 0.555 %)	           0.027 ( 0.502 %)	           0.166 ( 3.849 %)	           3.655 (82.001 %)	           0.082 ( 1.720 %)
           0.086 ( 0.483 %)	           0.016 ( 0.382 %)	           0.164 ( 3.951 %)	           8.331 (138.874 %)	           0.079 ( 1.704 %)
           0.072 ( 0.408 %)	           0.020 ( 0.469 %)	           0.143 ( 3.570 %)	           0.129 ( 2.732 %)	           0.062 ( 1.434 %)
           0.071 ( 0.388 %)	           0.491 (11.277 %)	           0.151 ( 3.400 %)	           2.003 (39.654 %)	           0.046 ( 1.086 %)
