           4.860 	           3.697 	           0.344 	           3.022 	           0.102 
           3.181 	           0.025 	           0.135 	           0.179 	           0.059 
           0.085 	           0.025 	           0.291 	           0.182 	           0.051 
           0.098 	           0.025 	           0.054 	           4.452 	           0.043 
           0.087 	           0.023 	           0.216 	           0.111 	           0.043 
           0.059 	           0.020 	           0.304 	           0.181 	           0.041 
           0.072 	           0.021 	           0.166 	           0.017 	           0.037 
           0.099 	           0.038 	           0.286 	           0.124 	           0.054 
           0.077 	           0.020 	           0.257 	           0.105 	           0.038 
           0.069 	           0.021 	           0.087 	           0.145 	           0.037 
           0.086 	           0.017 	           0.036 	           0.172 	           0.036 
           0.055 	           0.019 	           0.214 	           0.063 	           0.051 
           0.065 	           0.022 	           2.481 	           0.110 	           0.042 
           0.088 	           0.016 	           0.035 	           0.099 	           0.042 
           0.062 	           0.018 	           0.168 	           0.044 	           0.048 
           0.075 	           0.020 	           0.172 	           0.140 	           0.047 
           0.046 	           0.020 	           0.056 	           0.231 	           0.036 
           0.125 	           0.061 	           0.112 	           0.014 	           0.044 
           0.077 	           0.018 	           0.193 	           0.147 	           0.039 
           0.083 	           0.016 	           0.110 	           0.242 	           0.035 
           0.077 	           0.019 	           0.183 	           0.135 	           0.037 
           0.057 	           0.021 	           0.171 	           0.143 	           0.036 
           0.088 	           0.020 	           0.172 	           0.087 	           0.039 
           0.088 	           0.018 	           0.198 	           0.255 	           0.038 
           0.059 	           0.015 	           0.138 	           0.210 	           0.040 
           0.080 	           0.015 	           0.065 	           0.137 	           0.048 
           0.084 	           0.018 	           0.102 	           0.114 	           0.033 
           0.080 	           0.018 	           0.185 	           0.265 	           0.056 
           0.062 	           0.018 	           0.158 	           0.251 	           0.035 
           0.082 	           0.018 	           0.146 	           0.035 	           0.061 
           0.071 	           0.017 	           0.202 	           0.300 	           0.037 
           0.081 	           0.031 	           0.192 	           0.064 	           0.038 
           0.064 	           0.017 	           0.109 	           0.171 	           0.059 
           0.099 	           0.015 	           0.146 	           0.165 	           0.037 
           0.081 	           0.017 	           0.110 	           0.282 	           0.040 
           0.063 	           0.018 	           0.207 	           0.131 	           0.037 
           0.079 	           0.020 	           0.145 	           0.112 	           0.038 
           0.058 	           0.017 	           0.150 	           0.118 	           0.038 
           9.933 	           0.016 	           0.138 	           0.090 	           0.037 
           0.062 	           0.037 	           0.143 	           0.204 	           0.051 
           0.064 	           0.024 	           0.150 	           0.222 	           0.036 
           0.105 	           0.017 	           0.110 	           0.268 	           0.061 
           0.075 	           0.015 	           2.471 	           0.121 	           0.039 
           0.070 	           0.018 	           0.227 	           0.289 	           0.060 
           0.067 	           0.018 	           1.362 	           0.173 	           0.049 
           0.081 	           0.018 	           0.209 	           0.128 	           0.054 
           0.071 	           0.019 	           0.074 	           0.140 	           0.052 
           0.092 	           0.018 	           0.111 	           0.154 	           0.050 
           0.058 	           0.018 	           0.234 	           0.090 	           0.069 
           8.976 	           0.017 	           0.049 	           0.181 	           0.039 
