           0.020 ( 0.137 %)	           0.010 ( 0.245 %)	           0.009 ( 0.213 %)	           0.012 ( 0.305 %)	           0.049 ( 1.560 %)
           0.036 ( 0.244 %)	           0.009 ( 0.232 %)	           0.008 ( 0.181 %)	           0.009 ( 0.217 %)	           0.048 ( 1.523 %)
           0.020 ( 0.138 %)	           0.008 ( 0.204 %)	           0.007 ( 0.158 %)	           0.010 ( 0.261 %)	           0.047 ( 1.514 %)
           0.020 ( 0.138 %)	           0.007 ( 0.175 %)	           0.009 ( 0.203 %)	           0.010 ( 0.255 %)	           0.050 ( 1.585 %)
           0.027 ( 0.180 %)	           0.008 ( 0.195 %)	           0.009 ( 0.202 %)	           0.010 ( 0.232 %)	           0.047 ( 1.509 %)
           0.021 ( 0.144 %)	           0.008 ( 0.199 %)	           0.008 ( 0.168 %)	           0.009 ( 0.199 %)	           0.050 ( 1.590 %)
           0.021 ( 0.128 %)	           0.009 ( 0.234 %)	           0.010 ( 0.214 %)	           0.008 ( 0.209 %)	           0.008 ( 0.254 %)
           0.067 ( 0.457 %)	           0.007 ( 0.186 %)	           0.007 ( 0.161 %)	           0.009 ( 0.234 %)	           0.049 ( 1.567 %)
           0.023 ( 0.157 %)	           0.010 ( 0.261 %)	           0.055 ( 1.221 %)	           0.011 ( 0.289 %)	           0.047 ( 1.519 %)
           1.373 ( 9.089 %)	           0.009 ( 0.240 %)	           0.009 ( 0.204 %)	           0.010 ( 0.232 %)	           0.049 ( 1.576 %)
           0.066 ( 0.386 %)	           0.007 ( 0.186 %)	           0.008 ( 0.186 %)	           0.009 ( 0.229 %)	           0.051 ( 1.684 %)
           0.029 ( 0.188 %)	           0.009 ( 0.234 %)	           0.009 ( 0.194 %)	           0.008 ( 0.193 %)	           0.048 ( 1.583 %)
           0.029 ( 0.188 %)	           0.007 ( 0.185 %)	           0.007 ( 0.165 %)	           0.010 ( 0.227 %)	           0.054 ( 1.734 %)
           0.027 ( 0.184 %)	           0.008 ( 0.189 %)	           1.786 (33.191 %)	           0.008 ( 0.196 %)	           3.452 (81.053 %)
           0.025 ( 0.170 %)	           0.007 ( 0.173 %)	           0.009 ( 0.200 %)	           0.009 ( 0.208 %)	           0.047 ( 1.516 %)
           0.085 ( 0.578 %)	           0.009 ( 0.240 %)	           0.008 ( 0.182 %)	           0.010 ( 0.244 %)	           0.050 ( 1.519 %)
          10.191 (57.160 %)	           0.010 ( 0.248 %)	           0.008 ( 0.173 %)	           0.009 ( 0.223 %)	           0.083 ( 2.294 %)
           0.063 ( 0.430 %)	           0.008 ( 0.213 %)	           0.010 ( 0.224 %)	           0.010 ( 0.265 %)	           0.055 ( 1.574 %)
           6.585 (40.288 %)	           0.009 ( 0.227 %)	           0.022 ( 0.494 %)	           0.011 ( 0.280 %)	           0.052 ( 1.566 %)
           2.794 (17.123 %)	           0.009 ( 0.223 %)	           0.009 ( 0.160 %)	           0.009 ( 0.207 %)	           0.052 ( 1.562 %)
           8.624 (51.637 %)	           0.007 ( 0.173 %)	           0.011 ( 0.213 %)	           0.011 ( 0.291 %)	           0.074 ( 2.295 %)
           0.020 ( 0.134 %)	           0.008 ( 0.216 %)	           0.010 ( 0.211 %)	           1.301 (27.861 %)	           0.051 ( 1.544 %)
           0.023 ( 0.153 %)	           0.008 ( 0.215 %)	           0.143 ( 3.145 %)	           0.011 ( 0.247 %)	           0.019 ( 0.530 %)
           0.020 ( 0.139 %)	           0.008 ( 0.201 %)	           0.008 ( 0.173 %)	           0.011 ( 0.270 %)	           0.056 ( 1.657 %)
           0.025 ( 0.171 %)	           0.007 ( 0.189 %)	           0.009 ( 0.181 %)	           0.009 ( 0.231 %)	           0.067 ( 1.852 %)
           0.362 ( 2.377 %)	           0.026 ( 0.684 %)	           0.009 ( 0.191 %)	           0.010 ( 0.234 %)	           0.058 ( 1.553 %)
           0.023 ( 0.140 %)	           0.010 ( 0.225 %)	           0.007 ( 0.166 %)	           0.013 ( 0.325 %)	           0.088 ( 2.336 %)
           0.031 ( 0.211 %)	           0.009 ( 0.221 %)	           0.008 ( 0.166 %)	           0.008 ( 0.208 %)	           0.060 ( 1.535 %)
           0.027 ( 0.182 %)	           0.007 ( 0.178 %)	           0.008 ( 0.167 %)	           0.030 ( 0.674 %)	           1.294 (31.522 %)
           0.025 ( 0.165 %)	           0.007 ( 0.180 %)	           0.008 ( 0.172 %)	           0.012 ( 0.310 %)	           0.060 ( 1.543 %)
           6.034 (37.199 %)	           0.025 ( 0.565 %)	           0.008 ( 0.183 %)	           2.882 (59.607 %)	           0.059 ( 1.586 %)
           0.024 ( 0.166 %)	           0.011 ( 0.216 %)	           0.007 ( 0.169 %)	           2.528 (58.933 %)	           0.060 ( 1.592 %)
