     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.721;          15.781;          16.192;          15.826;           0.070 ( 0.442 %);   3856.646
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.394;           7.468;           7.658;           7.499;           0.032 ( 0.420 %);   8138.810
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         127.343;          15.357;          30.111;          17.013;           2.639 (15.509 %);   3587.560
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          66.529;           8.396;           8.589;           8.425;           0.034 ( 0.399 %);   7244.451
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.230;          15.285;          15.736;          15.338;           0.075 ( 0.488 %);   3979.445
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.616;           7.267;           7.448;           7.293;           0.031 ( 0.428 %);   8369.318
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.588;          15.693;          16.138;          15.771;           0.072 ( 0.457 %);   3870.095
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.769;           7.468;           7.728;           7.498;           0.044 ( 0.585 %);   8140.422
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          69.774;          15.707;          16.050;          15.765;           0.058 ( 0.365 %);   3871.643
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.534;           7.463;           7.645;           7.489;           0.031 ( 0.416 %);   8150.172
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.479;          15.349;          15.552;          15.395;           0.036 ( 0.236 %);   3964.484
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.966;           7.269;           7.449;           7.297;           0.031 ( 0.429 %);   8364.835
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.127;          15.285;          15.599;          15.338;           0.053 ( 0.345 %);   3979.405
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.632;           7.272;           7.402;           7.296;           0.022 ( 0.306 %);   8365.738
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          40.320;          15.280;          15.563;          15.331;           0.048 ( 0.315 %);   3981.246
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         226.890;           7.265;           7.445;           7.290;           0.031 ( 0.428 %);   8372.345
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          56.679;          15.350;          15.537;          15.386;           0.032 ( 0.208 %);   3966.991
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          39.369;           7.265;           7.508;           7.296;           0.041 ( 0.560 %);   8365.946
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
