     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          15.539;           3.733;           4.537;           4.028;           0.193 ( 4.792 %);  15153.062
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          25.528;           1.925;           2.145;           1.959;           0.041 ( 2.114 %);  31155.800
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.826;           3.734;           4.550;           3.922;           0.196 ( 5.004 %);  15560.329
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          41.957;           1.924;           2.157;           1.960;           0.043 ( 2.174 %);  31144.720
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.834;           3.836;           4.265;           3.949;           0.155 ( 3.918 %);  15455.140
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.705;           1.977;           2.214;           2.014;           0.044 ( 2.184 %);  30298.602
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.447;           4.433;           5.003;           4.483;           0.123 ( 2.740 %);  13615.998
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          33.400;           2.284;           2.556;           2.324;           0.051 ( 2.191 %);  26265.373
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.980;           3.834;           4.659;           4.124;           0.182 ( 4.408 %);  14801.295
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          49.820;           1.974;           2.217;           2.012;           0.044 ( 2.209 %);  30332.824
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.962;           3.834;           4.661;           4.307;           0.279 ( 6.480 %);  14170.954
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         648.566;           1.976;           2.244;           2.021;           0.060 ( 2.964 %);  30205.455
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.990;           3.939;           4.857;           4.248;           0.165 ( 3.889 %);  14367.872
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          44.169;           2.031;           2.268;           2.087;           0.038 ( 1.840 %);  29251.774
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.465;           3.939;           4.586;           4.012;           0.148 ( 3.684 %);  15212.920
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          33.983;           2.031;           2.281;           2.065;           0.046 ( 2.229 %);  29562.182
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          45.970;           3.834;           4.391;           4.007;           0.159 ( 3.979 %);  15232.709
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         144.203;           1.974;           2.213;           2.009;           0.044 ( 2.171 %);  30373.534
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.028;           4.434;           5.390;           5.016;           0.316 ( 6.306 %);  12168.167
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.134;           2.285;           2.597;           2.311;           0.069 ( 2.997 %);  26412.098
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.832;           3.940;           4.517;           4.124;           0.180 ( 4.356 %);  14798.793
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         120.099;           2.033;          10.789;           2.315;           1.522 (65.749 %);  26368.875
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         226.767;           3.940;          14.267;           4.433;           1.775 (40.031 %);  13767.611
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.034;           2.030;           2.313;           2.069;           0.062 ( 2.994 %);  29493.354
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
