     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          24.083;           2.677;           3.210;           2.757;           0.106 ( 3.836 %);  22137.520
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.609;           1.924;           2.153;           1.938;           0.039 ( 2.018 %);  31486.504
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         582.915;           2.760;           3.297;           2.858;           0.086 ( 3.003 %);  21358.389
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          11.691;           1.978;           2.211;           2.012;           0.043 ( 2.150 %);  30342.420
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          45.848;           2.755;           3.301;           2.863;           0.089 ( 3.097 %);  21321.987
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.836;           1.975;           2.220;           2.016;           0.044 ( 2.177 %);  30277.651
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          27.792;           3.180;           3.812;           3.332;           0.107 ( 3.208 %);  18318.207
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.803;           2.291;           2.562;           2.349;           0.043 ( 1.835 %);  25984.469
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         272.590;           2.833;           3.009;           2.846;           0.029 ( 1.036 %);  21444.346
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.684;           2.036;           2.281;           2.085;           0.041 ( 1.969 %);  29275.584
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.397;           2.831;           3.393;           2.923;           0.110 ( 3.753 %);  20883.379
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2925.720;           2.031;           2.277;           2.055;           0.046 ( 2.216 %);  29703.872
