     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          48.143;           2.208;           2.417;           2.223;           0.035 ( 1.582 %);  27461.826
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.290;           1.974;           2.219;           1.989;           0.042 ( 2.103 %);  30678.875
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.443;           2.149;           2.321;           2.163;           0.029 ( 1.326 %);  28219.802
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.927;           1.921;           2.156;           1.938;           0.040 ( 2.061 %);  31496.351
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.605;           2.210;           2.405;           2.223;           0.033 ( 1.487 %);  27460.328
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          68.996;           1.973;           2.213;           1.990;           0.041 ( 2.048 %);  30673.735
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.517;           2.552;           3.027;           2.575;           0.081 ( 3.153 %);  23700.184
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         145.151;           2.281;           2.555;           2.300;           0.047 ( 2.052 %);  26537.724
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         433.466;           2.269;           2.466;           2.283;           0.033 ( 1.453 %);  26738.177
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          11.660;           2.027;           2.277;           2.045;           0.043 ( 2.082 %);  29843.389
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
