           0.065 ( 0.365 %)	           0.021 ( 0.506 %)	           0.067 ( 2.597 %)	           0.030 ( 1.359 %)	           0.039 ( 1.009 %)
           0.064 ( 0.408 %)	           0.019 ( 0.457 %)	           0.030 ( 1.209 %)	           0.019 ( 0.836 %)	           0.040 ( 1.051 %)
           0.059 ( 0.388 %)	           0.018 ( 0.428 %)	           0.030 ( 1.187 %)	           0.031 ( 1.384 %)	           0.038 ( 0.978 %)
           0.047 ( 0.306 %)	           0.026 ( 0.622 %)	           0.028 ( 1.089 %)	           0.017 ( 0.754 %)	           5.162 (93.690 %)
           0.050 ( 0.325 %)	           0.015 ( 0.350 %)	           0.019 ( 0.734 %)	           0.014 ( 0.623 %)	           0.039 ( 1.026 %)
           0.046 ( 0.290 %)	           0.024 ( 0.580 %)	           0.031 ( 1.190 %)	           0.032 ( 1.386 %)	           0.040 ( 1.007 %)
           0.080 ( 0.506 %)	           0.021 ( 0.514 %)	           0.028 ( 1.098 %)	           0.030 ( 1.345 %)	           1.909 (44.453 %)
           0.065 ( 0.423 %)	           0.020 ( 0.483 %)	           0.013 ( 0.515 %)	           0.031 ( 1.390 %)	           0.062 ( 1.514 %)
           0.081 ( 0.455 %)	           2.537 (51.314 %)	           0.013 ( 0.509 %)	           0.033 ( 1.295 %)	           0.061 ( 1.404 %)
           0.076 ( 0.481 %)	           0.019 ( 0.452 %)	           0.015 ( 0.581 %)	           0.029 ( 1.278 %)	           0.048 ( 1.112 %)
           0.062 ( 0.391 %)	           0.021 ( 0.491 %)	           0.012 ( 0.451 %)	           2.546 (95.354 %)	           0.038 ( 0.902 %)
           0.055 ( 0.357 %)	           0.029 ( 0.680 %)	           0.014 ( 0.546 %)	           0.035 ( 1.565 %)	           2.530 (57.023 %)
           0.061 ( 0.398 %)	           1.566 (34.771 %)	           0.032 ( 1.279 %)	           0.030 ( 1.363 %)	           0.041 ( 1.031 %)
           0.055 ( 0.361 %)	           0.019 ( 0.451 %)	           0.033 ( 1.328 %)	           0.030 ( 1.336 %)	           0.038 ( 0.970 %)
