           4.386 	           0.020 	           2.803 	           0.032 	           0.038 
           5.326 	           1.267 	           0.031 	           0.033 	           0.042 
           1.279 	           0.020 	           0.031 	           0.035 	           0.041 
           0.056 	           0.022 	           0.773 	           0.034 	           0.045 
           0.049 	           0.021 	           0.018 	           0.060 	           0.040 
           0.052 	           0.038 	           1.802 	           0.096 	           0.040 
           0.065 	           0.024 	           0.017 	           0.033 	           0.044 
           0.061 	           0.023 	           0.031 	           0.034 	           0.046 
           0.056 	           0.020 	           0.033 	           0.056 	           0.042 
           0.060 	           0.029 	           0.015 	           0.105 	           0.036 
           6.730 	           0.017 	           0.031 	           0.012 	           0.048 
           0.069 	           0.022 	           0.030 	           0.031 	           0.037 
           1.606 	           0.033 	           0.160 	           0.016 	           0.045 
           2.127 	           0.020 	           0.014 	           0.032 	           0.047 
           0.065 	           0.021 	           0.033 	           0.030 	           2.539 
           0.077 	           0.018 	           0.028 	           0.031 	           0.041 
           0.265 	           0.022 	           0.036 	           0.016 	           0.039 
           0.137 	           0.021 	           0.033 	           0.034 	           0.040 
           0.064 	           0.028 	           0.029 	           0.033 	           0.038 
           0.075 	           0.025 	           0.033 	           0.035 	           0.037 
           0.053 	           0.021 	           0.049 	           0.031 	           0.036 
           0.063 	           0.020 	           0.033 	           0.031 	           0.042 
           1.307 	           0.033 	           0.034 	           0.030 	           0.041 
           0.073 	           0.020 	           0.032 	           0.015 	           0.041 
           0.053 	           0.017 	           0.019 	           0.013 	           0.039 
           1.257 	           0.034 	           0.033 	           0.018 	           0.046 
           0.109 	           0.027 	           0.031 	           0.033 	           0.045 
           1.495 	           0.024 	           0.032 	           0.034 	           0.052 
           0.066 	           0.019 	           0.017 	           0.031 	           0.041 
           1.598 	           0.021 	           0.031 	           0.030 	           4.081 
           0.914 	           0.027 	           0.035 	           0.033 	           0.038 
           2.466 	           0.025 	           0.051 	           0.014 	           0.040 
           0.063 	           0.033 	           0.027 	           0.031 	           0.048 
           0.061 	           0.017 	           0.032 	           0.033 	           0.043 
           1.109 	           0.016 	           0.033 	           1.299 	           0.059 
           0.066 	           0.021 	           0.027 	           0.015 	           0.062 
           0.064 	           0.014 	           0.032 	           0.029 	           0.038 
           0.041 	           0.020 	           0.033 	           0.029 	           0.048 
           0.057 	           0.025 	           0.317 	           0.016 	           0.048 
           0.091 	           0.021 	           0.026 	           0.050 	           0.047 
           0.072 	           0.016 	           0.031 	           0.030 	           0.043 
           0.073 	           0.020 	           0.015 	           0.016 	           0.082 
           0.071 	           0.020 	           0.029 	           0.033 	           1.545 
           0.065 	           0.021 	           0.067 	           0.030 	           0.039 
           0.064 	           0.019 	           0.030 	           0.019 	           0.040 
           0.059 	           0.018 	           0.030 	           0.031 	           0.038 
           0.047 	           0.026 	           0.028 	           0.017 	           5.162 
           0.050 	           0.015 	           0.019 	           0.014 	           0.039 
           0.046 	           0.024 	           0.031 	           0.032 	           0.040 
           0.080 	           0.021 	           0.028 	           0.030 	           1.909 
           0.065 	           0.020 	           0.013 	           0.031 	           0.062 
           0.081 	           2.537 	           0.013 	           0.033 	           0.061 
