           9.799	           1.959	           1.938	           1.989	           2.423
           7.288	           1.960	           2.012	           1.938	           2.488
           7.491	           2.014	           2.016	           1.990	           2.488
           7.494	           2.324	           2.349	           2.300	           2.877
           7.496	           2.012	           2.085	           2.045	           2.564
           7.503	           2.021	           2.055	           2.747	           2.489
           7.288	           2.087	           2.078	           2.045	           2.491
           7.497	           2.065	           2.014	           2.045	           2.557
           8.428	           2.009	           2.011	           2.044	           2.559
           7.292	           2.311	           2.068	           2.045	           2.559
           7.290	           2.315	           2.067	           2.294	           4.175
           7.295	           2.069	           5.044	           2.044	           2.885
           8.314	           2.333	           2.068	           2.046	           3.317
           7.292	           2.069	           2.071	           2.045	           3.070
           7.287	           2.007	           2.051	           2.046	           2.973
           7.289	           2.013	           2.227	           2.300	           2.792
           7.498	           2.084	           2.008	           1.989	           2.877
           7.499	           2.070	           2.063	           1.989	           2.646
           8.425	           2.036	           2.073	           1.992	           2.561
           7.293	           2.007	           2.087	           1.989	           2.558
           7.498	           2.073	           2.088	           1.989	           2.558
           7.489	           2.068	           2.311	           2.301	           2.558
           7.297	           2.013	           2.003	           1.991	           2.562
           7.296	           2.031	           2.035	           2.044	           2.557
           7.290	           2.007	           2.067	           2.045	           2.558
           7.296	           2.013	           2.319	           2.044	           2.558
           7.494	           2.009	           2.049	           2.045	           2.876
           7.494	           2.859	           2.041	           2.045	           5.013
           7.290	           2.087	           2.078	           2.044	           3.290
           7.293	           2.325	           2.046	           2.045	           2.487
           7.293	           2.019	           2.063	           2.045	           2.878
           7.287	           2.034	           2.094	           2.046	           2.561
           7.290	           2.075	           2.079	           2.044	           2.558
           7.291	           2.069	           2.061	           2.044	           2.558
           7.292	           2.067	           2.072	           2.045	           2.558
           7.295	           2.320	           2.075	           2.049	           2.559
           7.295	           2.067	           2.565	           2.053	           2.557
           7.500	           2.008	           2.122	           2.045	           2.558
           7.494	           2.030	           3.613	           2.231	           2.561
           7.493	           2.012	           2.277	           2.239	           2.559
           8.432	           1.970	           2.369	           2.301	           2.558
           7.282	           2.325	           2.487	           2.232	           2.559
           7.906	           2.333	           4.695	           2.307	           2.558
           7.491	           2.010	           2.494	           2.044	           2.558
           7.492	           2.028	           2.838	           2.046	           2.557
           7.498	           2.014	           2.568	           2.300	           2.557
           7.300	           2.006	           2.581	           2.309	           2.557
           7.292	           2.046	           2.487	           2.300	           2.559
           7.493	           2.330	           2.403	           2.044	           2.557
           7.494	           2.012	           2.258	           1.989	           2.558
           7.506	           2.017	           2.195	           1.990	           2.878
           7.514	           2.015	           2.144	           1.989	           2.559
           7.523	           2.017	           2.065	           1.990	           2.557
           7.496	           2.030	           2.079	           2.045	           2.557
           7.488	           2.040	           2.068	           2.045	           2.557
           7.490	           2.340	           2.083	           2.487	           2.557
           7.498	           2.084	           2.013	           2.045	           2.558
           7.640	           2.026	           2.009	           2.046	           2.556
           7.492	           2.064	           2.012	           2.052	           2.557
           7.497	           2.067	           2.009	           2.309	           2.877
           7.495	           2.012	           2.016	           1.983	           2.881
           7.494	           1.984	           2.068	           2.305	           2.491
          11.321	           2.088	           2.089	           2.044	           2.489
           7.496	           2.017	           2.087	           2.045	           2.490
           7.494	           2.028	           2.074	           2.045	           2.489
           9.633	           2.346	           2.061	           2.301	           2.491
           7.403	           2.335	           2.136	           1.990	           2.492
           7.288	           2.028	           2.228	           1.984	           2.490
           7.300	           2.080	           2.237	           2.045	           2.558
           7.507	           2.086	           2.191	           2.045	           3.288
           7.500	           2.064	           2.152	           2.045	           2.489
           7.295	           2.070	           2.065	           2.044	           2.495
           7.300	           2.021	           2.082	           2.045	           2.558
           7.292	           2.008	           2.083	           2.045	           2.558
           7.302	           2.021	           2.046	           2.301	           2.558
           7.291	           2.031	           2.066	           2.044	           2.559
           7.294	           2.067	           2.085	           2.300	           2.557
           7.297	           2.068	           2.071	           1.989	           2.557
           7.292	           2.082	           2.067	           1.989	           2.878
           7.292	           2.326	           2.322	           2.627	           2.564
           8.430	           2.069	           2.009	           2.299	           2.560
           7.292	           2.071	           2.048	           2.300	           2.559
           7.289	           2.039	           2.072	           1.990	           2.877
           7.292	           2.086	           2.064	           2.045	           2.558
           7.290	           2.082	           2.066	           1.989	           2.557
           7.295	           2.065	           2.076	           2.046	           2.878
           7.287	           2.321	           2.068	           1.991	           2.557
           7.496	           2.040	           2.343	           1.992	           2.560
           7.496	           2.071	           2.050	           2.045	           2.561
           7.296	           2.073	           2.079	           1.990	           2.880
           7.288	           3.633	           2.058	           2.050	           2.558
           7.287	           2.020	           2.061	           2.046	           2.557
           7.287	           2.032	           2.073	           2.046	           2.557
           7.292	           2.077	           2.010	           2.045	           2.559
           7.295	           2.347	           2.014	           2.042	           3.289
           7.290	           2.065	           2.033	           2.046	           2.558
           7.291	           2.095	           2.030	           1.989	           2.491
           7.295	           2.029	           2.075	           1.990	           2.876
           7.291	           2.090	           2.068	           2.044	           2.488
           7.289	           2.062	           2.075	           2.044	           2.488
           7.292	           2.017	           2.074	           2.046	           2.877
