           7.209 	           0.041 	           0.039 	           0.042 	           0.007 
           0.022 	           0.043 	           0.043 	           0.040 	           0.008 
           0.030 	           0.044 	           0.044 	           0.041 	           0.009 
           0.028 	           0.051 	           0.043 	           0.047 	           0.009 
           0.038 	           0.044 	           0.041 	           0.043 	           0.006 
           0.031 	           0.060 	           0.046 	           4.023 	           0.006 
           0.028 	           0.038 	           0.043 	           0.042 	           0.007 
           0.052 	           0.046 	           0.043 	           0.040 	           0.008 
           0.033 	           0.044 	           0.043 	           0.042 	           0.017 
           0.030 	           0.069 	           0.046 	           0.043 	           0.010 
           0.032 	           1.522 	           0.046 	           0.009 	           0.094 
           0.038 	           0.062 	           8.225 	           0.042 	           0.008 
           2.581 	           0.069 	           0.045 	           0.042 	           1.416 
           0.028 	           0.046 	           0.045 	           0.041 	           0.010 
           0.024 	           0.044 	           0.044 	           0.044 	           0.014 
           0.036 	           0.044 	           1.281 	           0.047 	           0.010 
           0.033 	           0.060 	           0.043 	           0.041 	           0.010 
           0.032 	           0.044 	           0.045 	           0.042 	           0.486 
           0.034 	           0.053 	           0.062 	           0.041 	           0.010 
           0.031 	           0.044 	           0.015 	           0.040 	           0.007 
           0.044 	           0.043 	           0.038 	           0.040 	           0.008 
           0.031 	           0.046 	           0.048 	           0.047 	           0.010 
           0.031 	           0.043 	           0.061 	           0.039 	           0.008 
           0.022 	           0.039 	           0.049 	           0.041 	           0.008 
           0.031 	           0.044 	           0.061 	           0.043 	           0.010 
           0.041 	           0.043 	           0.051 	           0.042 	           0.005 
           0.031 	           0.043 	           0.042 	           0.041 	           0.007 
           0.026 	           2.554 	           0.010 	           0.041 	          11.053 
           0.031 	           0.041 	           0.043 	           0.041 	           0.010 
           0.032 	           0.052 	           0.047 	           0.041 	           0.006 
           0.032 	           0.058 	           0.046 	           0.041 	           0.007 
           0.027 	           0.035 	           0.056 	           0.042 	           0.010 
           0.037 	           0.045 	           0.041 	           0.042 	           0.006 
           0.033 	           0.046 	           0.045 	           0.043 	           0.009 
           0.030 	           0.045 	           0.045 	           0.044 	           0.010 
           0.027 	           0.051 	           0.046 	           0.043 	           0.011 
           0.039 	           0.046 	           2.835 	           0.065 	           0.005 
           0.036 	           0.044 	           0.324 	           0.041 	           0.006 
           0.030 	           0.038 	           0.036 	           0.046 	           0.008 
           0.037 	           0.043 	           0.042 	           0.068 	           0.008 
           0.032 	           0.040 	           0.006 	           0.048 	           0.007 
           0.029 	           0.051 	           0.054 	           0.045 	           0.007 
           2.485 	           0.051 	           1.437 	           0.069 	           0.010 
           0.023 	           0.043 	           0.072 	           0.041 	           0.010 
           0.028 	           0.039 	           1.291 	           0.042 	           0.007 
           0.041 	           0.043 	           0.055 	           0.047 	           0.005 
           0.045 	           0.044 	           0.075 	           0.071 	           0.007 
           0.033 	           0.321 	           0.054 	           0.047 	           0.006 
           0.029 	           0.051 	           0.052 	           0.043 	           0.007 
           0.027 	           0.044 	           0.050 	           0.040 	           0.006 
           0.055 	           0.043 	           0.046 	           0.042 	           0.009 
           0.067 	           0.043 	           0.041 	           0.040 	           0.012 
           0.062 	           0.044 	           0.044 	           0.041 	           0.005 
           0.026 	           0.038 	           0.043 	           0.042 	           0.006 
           0.040 	           0.008 	           0.062 	           0.042 	           0.009 
           0.030 	           0.047 	           0.059 	           2.476 	           0.007 
           0.029 	           0.039 	           0.044 	           0.042 	           0.009 
           0.833 	           0.040 	           0.045 	           0.041 	           0.009 
           0.024 	           0.045 	           0.043 	           0.066 	           0.006 
           0.031 	           0.045 	           0.044 	           0.069 	           0.010 
           0.029 	           0.045 	           0.043 	           0.006 	           0.007 
           0.037 	           0.006 	           0.044 	           0.046 	           0.007 
          10.491 	           0.038 	           0.038 	           0.043 	           0.007 
           0.025 	           0.044 	           0.040 	           0.042 	           0.009 
           0.038 	           0.039 	           0.061 	           0.042 	           0.009 
           0.036 	           0.045 	           0.046 	           0.048 	           0.007 
           0.626 	           0.070 	           0.064 	           0.041 	           0.007 
           0.027 	           0.039 	           0.008 	           0.009 	           0.009 
           0.030 	           0.042 	           0.046 	           0.042 	           0.008 
           0.045 	           0.038 	           0.048 	           0.043 	           0.012 
           0.042 	           0.045 	           0.056 	           0.042 	           0.007 
           0.023 	           0.045 	           0.046 	           0.041 	           0.006 
           0.047 	           0.043 	           0.042 	           0.042 	           0.009 
           0.033 	           0.045 	           0.042 	           0.043 	           0.005 
           0.036 	           0.060 	           0.047 	           0.045 	           0.008 
           0.045 	           0.036 	           0.046 	           0.042 	           0.006 
           0.035 	           0.045 	           0.039 	           0.046 	           0.008 
           0.030 	           0.045 	           0.046 	           0.042 	           0.008 
