     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1449.502;           4.101;           4.219;           4.115;           0.020 ( 0.479 %);  14831.267
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.505;           1.960;           2.010;           1.970;           0.009 ( 0.438 %);  30982.313
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.009;           4.102;          11.395;           4.338;           1.267 (29.209 %);  14069.098
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          75.395;           1.959;           2.015;           1.969;           0.010 ( 0.488 %);  31000.911
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         100.058;           4.102;           4.220;           4.117;           0.020 ( 0.478 %);  14826.026
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          33.101;           1.958;           2.005;           1.969;           0.009 ( 0.439 %);  31004.251
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.204;           4.101;           4.233;           4.115;           0.022 ( 0.535 %);  14833.123
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          51.160;           1.958;           2.012;           1.968;           0.009 ( 0.474 %);  31018.575
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          50.381;           4.214;           4.337;           4.230;           0.021 ( 0.498 %);  14429.839
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          69.181;           2.014;           2.056;           2.024;           0.007 ( 0.342 %);  30158.870
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          29.348;           4.741;           4.970;           4.760;           0.038 ( 0.807 %);  12823.328
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.712;           2.265;           2.308;           2.276;           0.007 ( 0.329 %);  26811.141
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.285;           4.213;           4.351;           4.228;           0.024 ( 0.556 %);  14435.423
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.458;           2.012;           2.059;           2.024;           0.008 ( 0.400 %);  30159.322
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.790;           4.214;           4.350;           4.229;           0.023 ( 0.543 %);  14431.596
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.896;           2.014;           2.081;           2.024;           0.011 ( 0.545 %);  30153.452
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.113;           4.109;           4.231;           4.122;           0.020 ( 0.494 %);  14805.755
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.365;           1.959;           1.994;           1.968;           0.006 ( 0.305 %);  31013.799
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         486.129;           4.100;           4.271;           4.115;           0.029 ( 0.705 %);  14832.140
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.691;           1.955;           1.994;           1.966;           0.007 ( 0.346 %);  31052.050
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.264;           4.100;           4.201;           4.113;           0.017 ( 0.423 %);  14839.571
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.950;           1.963;           2.006;           1.969;           0.007 ( 0.380 %);  30993.278
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.551;           4.743;           4.873;           4.758;           0.022 ( 0.461 %);  12828.392
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.187;           2.265;           2.324;           2.279;           0.010 ( 0.455 %);  26776.567
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          47.845;           4.231;           4.426;           4.249;           0.033 ( 0.774 %);  14363.569
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.015;           2.012;           3.868;           2.396;           0.712 (29.717 %);  25472.805
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.817;           4.222;           4.340;           4.236;           0.020 ( 0.462 %);  14409.296
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.288;           2.013;           2.077;           2.024;           0.010 ( 0.517 %);  30156.613
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.243;           4.214;           4.341;           4.230;           0.021 ( 0.498 %);  14430.149
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         172.405;           2.014;           2.079;           2.025;           0.010 ( 0.512 %);  30142.171
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.633;           4.215;           4.321;           4.228;           0.018 ( 0.422 %);  14436.251
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.820;           2.014;           2.079;           2.025;           0.011 ( 0.529 %);  30143.073
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.661;           4.214;           4.344;           4.228;           0.022 ( 0.512 %);  14435.009
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          30.949;           2.015;           2.067;           2.024;           0.009 ( 0.439 %);  30152.098
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         203.722;           4.214;           4.343;           4.229;           0.021 ( 0.502 %);  14432.734
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         559.876;           2.013;           2.079;           2.024;           0.011 ( 0.548 %);  30162.935
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.849;           4.215;           4.379;           4.232;           0.028 ( 0.650 %);  14422.296
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.811;           2.012;           2.061;           2.023;           0.008 ( 0.404 %);  30176.944
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          83.928;           4.215;           4.366;           4.230;           0.025 ( 0.600 %);  14429.942
