     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.582;          14.880;          34.248;          16.063;           4.386 (27.303 %);   3799.729
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          92.434;           7.070;           7.212;           7.095;           0.024 ( 0.343 %);   8602.779
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          89.249;          14.893;          35.030;          16.583;           5.326 (32.120 %);   3680.626
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          76.499;           7.070;           7.356;           7.101;           0.049 ( 0.684 %);   8595.437
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          60.235;          15.283;          22.677;          15.563;           1.279 ( 8.217 %);   3921.919
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.188;           7.263;           7.467;           7.289;           0.034 ( 0.472 %);   8373.981
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.220;          15.288;          15.629;          15.341;           0.056 ( 0.367 %);   3978.541
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.653;           7.264;          17.142;           7.589;           1.715 (22.600 %);   8042.582
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          72.965;          15.701;          15.988;          15.759;           0.049 ( 0.310 %);   3873.013
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.534;           7.468;           7.646;           7.492;           0.031 ( 0.410 %);   8146.678
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.649;          15.760;          16.067;          15.815;           0.052 ( 0.330 %);   3859.210
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.622;           7.454;           7.702;           7.490;           0.041 ( 0.545 %);   8149.183
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          27.894;          17.670;          18.070;          17.731;           0.065 ( 0.369 %);   3442.279
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.450;           8.397;           8.747;           8.435;           0.059 ( 0.698 %);   7236.226
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.830;          15.291;          15.647;          15.339;           0.061 ( 0.396 %);   3979.067
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.057;           7.260;           7.406;           7.286;           0.027 ( 0.365 %);   8377.011
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.656;          15.336;          15.677;          15.388;           0.056 ( 0.363 %);   3966.342
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          35.983;           7.263;           7.544;           7.296;           0.047 ( 0.640 %);   8365.981
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          81.748;          15.305;          15.644;          15.374;           0.060 ( 0.387 %);   3969.946
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         363.827;           7.262;           7.425;           7.289;           0.029 ( 0.404 %);   8374.051
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.093;          15.279;          49.265;          16.994;           6.730 (39.601 %);   3591.500
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          93.116;           7.261;           7.423;           7.293;           0.031 ( 0.421 %);   8368.762
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         841.897;          15.717;          16.106;          15.779;           0.069 ( 0.436 %);   3868.029
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          44.776;           7.467;           7.672;           7.496;           0.034 ( 0.452 %);   8142.726
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.344;          15.706;          24.977;          16.039;           1.606 (10.010 %);   3805.465
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.613;           7.464;           7.693;           7.494;           0.038 ( 0.501 %);   8144.602
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          34.732;          15.713;          27.959;          16.238;           2.127 (13.101 %);   3758.813
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.715;           7.475;          39.155;           8.463;           5.510 (65.103 %);   7211.639
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.693;          15.697;          16.088;          15.755;           0.065 ( 0.411 %);   3873.996
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.699;           7.468;           7.715;           7.496;           0.042 ( 0.555 %);   8141.968
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.226;          15.706;          16.175;          15.773;           0.077 ( 0.491 %);   3869.672
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.154;           7.457;           7.692;           7.492;           0.039 ( 0.523 %);   8146.579
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.120;          15.309;          16.854;          15.428;           0.265 ( 1.716 %);   3956.012
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.048;           7.265;           7.428;           7.289;           0.028 ( 0.378 %);   8374.155
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.450;          15.353;          16.141;          15.431;           0.137 ( 0.890 %);   3955.251
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.045;           7.263;           8.781;           7.335;           0.261 ( 3.557 %);   8321.119
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          13.913;          15.694;          16.062;          15.766;           0.064 ( 0.408 %);   3871.419
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          33.958;           7.466;           8.770;           7.527;           0.224 ( 2.970 %);   8108.698
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          34.922;          15.727;          16.159;          15.784;           0.075 ( 0.472 %);   3866.796
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.237;           7.466;           7.787;           7.500;           0.053 ( 0.712 %);   8137.626
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.052;          15.766;          16.083;          15.827;           0.053 ( 0.336 %);   3856.335
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.981;           7.466;          22.090;           9.267;           3.622 (39.081 %);   6586.118
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.239;          15.785;          16.163;          15.823;           0.063 ( 0.400 %);   3857.429
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          39.432;           7.463;           7.617;           7.494;           0.027 ( 0.357 %);   8144.372
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         396.039;          15.710;          23.266;          15.997;           1.307 ( 8.167 %);   3815.398
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          15.202;           7.472;           7.630;           7.494;           0.028 ( 0.369 %);   8144.438
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          84.303;          15.293;          15.732;          15.347;           0.073 ( 0.475 %);   3977.127
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.760;           7.261;           7.393;           7.284;           0.024 ( 0.324 %);   8379.241
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         178.626;          15.264;          15.590;          15.331;           0.053 ( 0.343 %);   3981.041
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.314;           7.260;           7.486;           7.292;           0.039 ( 0.530 %);   8370.292
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.643;          15.711;          22.979;          15.984;           1.257 ( 7.866 %);   3818.501
